title,category,body
Akun WhatsApp Mengatasnamakan Dandim 0702/Purbalingga,hoaks,"Beredar sebuah akun WhatsApp yang mengatasnamakan Komandan Kodim (Dandim) 0702/ Purbalingga Letkol Inf Untung Iswahyudi. Akun WhatsApp tersebut terlihat memakai nama dan foto Untung Iswahyudi. Lebih lanjut, akun tersebut meminta sumbangan dan mengajak kerja sama sejumlah kolega di Kabupaten Purbalingga.  Faktanya, akun WhatsApp yang beredar bukanlah milik Dandim 0702/Purbalingga dan merupakan modus penipuan. Dilansir dari radar banyumas.disway.id, Letkol Inf Untung Iswahyudi menjelaskan bahwa dirinya tidak pernah meminta sumbangan dana dalam bentuk apa pun atau kerjasama atas namanya. Dia menegaskan agar seluruh masyarakat berhati-hati jika mendapati oknum yang mengatasnamakan Dandim 0702/Purbalingga Letkol Inf Untung Iswahyudi, yang meminta bantuan uang dan barang ataupun kerjasama."
Akun Facebook Mengatasnamakan Pj Bupati Jepara Edy Supriyanta,hoaks,"Beredar akun Facebook yang mengatasnamakan Penjabat (Pj) Bupati Jepara Edy Supriyanta. Akun tersebut terlihat menggunakan nama dan foto profil Edy Supriyanta.  Faktanya, akun tersebut adalah palsu. Pemerintah Kabupaten (Pemkab) Jepara melalui akun Instagram resminya @pemkabjepara, memberikan klarifikasi bahwa akun Facebook yang mengatasnamakan Pj Bupati Jepara Edy Supriyanta adalah palsu. Adapun Akun Facebook resmi milik Pj Bupati Jepara adalah bupatijepara.id.Pihaknya mengimbau kepada masyarakat agar berhati-hati terhadap penipuan akun Facebook mengatasnamakan Pj Bupati Jepara. Apabila dihubungi akun tersebut dengan meminta sesuatu, agar diabaikan saja."
Akun WhatsApp Mengatasnamakan Kapolres Halmahera Utara,hoaks,"Beredar sebuah akun WhatsApp yang mengatasnamakan Kapolres Halmahera Utara (Halut) AKBP Faidil Zikri. Akun WhatsApp tersebut terlihat memakai nama dan foto profil dari AKBP Fadil Zikri. Faktanya, dilansir dari situs malutpost.com, akun tersebut bukanlah milik AKBP Fadil Zikri dan merupakan akun palsu. Polres Halut meminta masyarakat untuk waspada dan berhati-hati serta segera melapor ke polisi jika menemukan pesan yang mengatasnamakan pejabat di lingkungan Pemerintah Kabupaten Halmahera Utara."
Tautan Hadiah atau Undian Mengatasnamakan Alfamart,hoaks,"Beredar sebuah tautan yang berisi informasi mengenai hadiah atau undian mengatasnamakan Alfamart. Faktanya, klaim tersebut adalah tidak benar atau hoaks. Melalui akun Instagram resminya @alfamart, Alfamart mengimbau kepada masyarakat jika mendapat tautan penipuan yang mengiming-imingi hadiah atau undian mengatasnamakan Alfamart yang disebarkan melalui pesan broadcast maupun media sosial tidak resmi, mohon melakukan konfirmasi langsung ke Alfacare 1500-959 atau bisa konfirmasi melalui DM media sosial resmi Alfamart."
Kemenkes Berikan Bantuan Rp175 Juta untuk Pekerja Migran,hoaks,"Beredar unggahan pada media sosial Facebook unggahan yang mengeklaim Kementerian Kesehatan (Kemenkes) membagikan bantuan uang Rp175 juta bagi pekerja migran.Faktanya, dilansir dari liputan6.com dengan melihat akun resmi Kemenkes di Instagram @kemenkes_ri yang sudah bercentang biru atau terverifikasi, di sana terdapat bantahan terkait klaim tersebut. Selain itu akun Instagram Badan Perlindungan Pekerja Migran Indonesia (BP2MI) @bp2mi_ri, meminta para pekerja mewaspadai akun palsu menjanjikan bantuan tertentu. Masyarakat diharapkan dapat berhati-hati dikarenakan terdapat permintaan untuk menghubungi kontak pada akun tersebut. Ini merupakan modus pencurian data ataupun terhubung dengan pinjaman online ilegal."
Surat Bantuan Hibah untuk UMKM 2024 Mengatasnamakan Diskopukmjateng,hoaks,"Beredar surat undangan peserta sosialisasi bantuan dana hibah usaha mikro, kecil, dan menengah (UMKM) tahun 2024 yang mengatasnamakan Dinas Koperasi UKM Provinsi Jawa Tengah (Diskopukmjateng). Kegiatan akan dilaksanakan pada 14-15 September 2024 di Gedung Kemenkopukm. Seluruh biaya transportasi dan akomodasi ditanggung oleh Kemenkopukm yang akan ditransfer ke rekening peserta masing-masing, dengan menghubungi kontak yang tertera pada surat.Faktanya, surat bantuan hibah untuk UMKM 2024 tersebut adalah hoaks. Diskopukmjateng melalui akun Instagram resminya @diskopukmjateng, memberikan klarifikasi bahwa surat bantuan seperti itu merupakan modus penipuan yang mengatasnamakan pejabat Dinas Koperasi UKM Provinsi Jawa Tengah. Pihaknya mengimbau kepada masyarakat agar berhati-hati terhadap modus penipuan yang mengatasnamakan Diskopukmjateng."
Akun Facebook Mengatasnamakan Sekdako Pekanbaru Indra Pomi,hoaks,"Beredar sebuah akun Facebook yang mengatasnamakan Sekretaris Daerah Kota (Sekdako) Pekanbaru Indra Pomi Nasution, ST, M.Si. Akun Facebook dengan nama akun Indra Pomi Nasution Msi. tersebut terlihat memakai foto profil dari Indra Pomi bersama mantan Kepala Badan Kesbangpol Syoffaizal dan mantan Kepala Dinas Pertanahan Dedi Gusriadi.Faktanya, dilansir dari pekanbaru.go.id, akun tersebut merupakan akun palsu. Indra Pomi menegaskan bahwa akun Facebook tersebut bukan miliknya. Beliau hanya memiliki satu akun Facebook dengan nama Indra Pomi. Masyarakat diimbau untuk selalu berhati-hati dan waspada terhadap akun Facebook yang mengaku sebagai pimpinan atau pejabat di lingkungan Pemerintah Kota Pekanbaru."
Akun WhatsApp Mengatasnamakan Fadhil Rahmi,hoaks,"Beredar sebuah akun WhatsApp palsu yang mengatasnamakan H. M. Fadhil Rahmi Lc., M.Ag atau akrab disapa Syech Fadhil, calon wakil gubernur (cawagub) pendamping Bustami Hamzah pada Pemilihan Kepala Daerah (Pilkada) Provinsi Aceh. Akun WhatsApp dinilai bertujuan menjelekan citra sahabat Ustadz Abdul Somad (UAS) tersebut dan bermotif penipuan.Faktanya, klaim dalam akun WhatsApp tersebut adalah tidak benar. Dilansir dari atcehwatch.com, hal ini disampaikan oleh anggota Tim Cawagub Syech Fadhil Teungku Mirzan Marwazy, kepada wartawan pada Senin, 16 September 2024. Ia mengatakan bahwa dalam dua hari terakhir, pihaknya memantau ada beberapa akun di media sosial muncul dengan memasang wajah dan nama HM Fadhil Rahmi. Akun tersebut jelas palsu karena jauh hari pihaknya telah memiliki akun resmi yang dikenal luas oleh masyarakat Aceh. Pihaknya meminta kepada masyarakat untuk tidak terjebak dengan propaganda murahan ini serta melaporkan dan memblokir akun tersebut."
Undian Berhadiah Mengatasnamakan Founder Alfamart,hoaks,"Beredar sebuah unggahan di media sosial TikTok yang menampilkan video Founder Alfamart Djoko Susanto sedang membagikan sejumlah hadiah ataupun undian kepada masyarakat.  Faktanya, informasi yang ada dalam video tersebut adalah tidak benar atau hoaks. Alfamart melalui akun Instagram resminya @alfamart, mengonfirmasi video yang berisikan tentang Djoko Susanto sedang membagikan sejumlah hadiah ataupun undian kepada masyarakat tersebut adalah tidak benar atau modus penipuan. Pihaknya menegaskan bahwa Djoko Susanto tidak memiliki akun media sosial apapun. Adapun informasi mengenai segala bentuk program promo, hadiah, dan kuis Alfamart bisa dicek pada media sosial resmi Alfamart dan situs resmi perusahaan."
Teror Ninja Ketuk Pintu dan Membacok di Tasikmalaya,hoaks,"Beredar sebuah unggahan di media sosial Facebook terkait adanya isu teror ""ninja ketuk pintu"" di Kabupaten Tasikmalaya, Jawa Barat. Dalam unggahan disebutkan bahwa sosok yang disebut berkostum ninja itu mengetuk pintu rumah warga lalu melakukan pembacokan.Faktanya, dilansir dari detik.com, Kapolsek Puspahiang Iptu Dedi Haryana memastikan isu teror ketuk pintu dengan kostum ninja tersebut adalah hoaks. Meski demikian, Dedi menyebut ada beberapa orang yang mengaku diketuk pintu rumahnya. Namun, tak ada kasus pembacokan maupun rudapaksa. Lebih lanjut, Kasat Reskrim Polres Tasikmalaya AKP Ridwan Budiarta turut menegaskan bahwa sampai saat ini belum ada laporan korban pembacokan terkait dengan isu ninja tersebut. Selain itu, kabar bahwa pelakunya seorang ninja berpakaian serba hitam juga dipastikan tidak benar. Polres Tasikmalaya masih terus menyelidiki kasus ini, termasuk mengidentifikasi pemilik akun media sosial yang menyebarkan isu hoaks tersebut."
Akun Whatsapp Mengatasnamakan Kadis DPMD Kabupaten Garut Wawan Nurdin,hoaks,"Beredar akun WhatsApp yang mengatasnamakan Kepala Dinas Pemberdayaan Masyarakat dan Desa (DPMD) Kabupaten Garut, Wawan Nurdin. Akun tersebut terlihat menggunakan nama dan foto profil dari Wawan Nurdin.Faktanya, berdasarkan hasil konfirmasi Tim Garut Saber Hoaks menyatakan bahwa nomor tersebut telah diretas oleh oknum tidak bertanggung jawab, sehingga pesan yang dikirimkan melalui nomor tersebut bukanlah dari Wawan Nurdin selaku Kadis DPMD. Pihaknya mengimbau kepada masyarakat agar selalu waspada terhadap segala bentuk permintaan uang atau bantuan yang mengatasnamakan Kadis DPMD, dan apabila menerima pesan mencurigakan untuk segera melaporkan ke pihak yang berwajib."
"Akun Facebook Mengatasnamakan Bakal Calon Bupati Kuningan, Dian Rachmat Yanuar",hoaks,"Beredar sebuah tangkapan layar percakapan di media sosial Facebook yang mengeklaim akun tersebut milik Bakal Calon Bupati Kuningan, Dian Rachmat Yanuar. Akun tersebut mengirimkan pesan dengan maksud memberikan bantuan pembangunan masjid, gereja, dan rumah pendidikan/sekolah.Faktanya, klaim Bakal Calon Bupati Kuningan, Dian Rachmat Yanuar memberikan bantuan pembangunan masjid, gereja, dan rumah pendidikan/sekolah adalah tidak benar. Dilansir dari jarrakpos.com, Dian Rachmat menegaskan bahwa akun tersebut adalah hoaks. Adapun akun Facebook tersebut muncul di media sosial menjelang Pemilihan Kepala Daerah (Pilkada). Masyarakat diimbau untuk selalu berhati-hati. Apabila masyarakat menemukan hal serupa, dimohon untuk mengabaikan pesan tersebut atau dapat mengkonfirmasi kebenarannya terlebih dahulu ke pihak terkait."
"Akun Facebook Mengatasnamakan Bakal Calon Bupati Kotawaringin Barat, Rahmat Hidayat",hoaks,"Beredar sebuah tangkapan layar percakapan di media sosial Facebook yang mengeklaim akun tersebut milik Bakal Calon Bupati Kotawaringin Barat, Rahmat Hidayat. Akun tersebut meminta nomor rekening dengan maksud memberikan sedekah memperingati Maulid Nabi Muhammad SAW.Faktanya, klaim Bakal Calon Bupati Kotawaringin Barat, Rahmat Hidayat memberikan bantuan (sedekah) adalah tidak benar. Dilansir dari beritasampit.com, Ketua Asosiasi Masyarakat Kotawaringin Barat (AMK), Hendra Gunawan sekaligus sebagai juru bicara Rahmat Hidayat menegaskan bahwa akun tersebut adalah hoaks. Adapun akun Facebook tersebut muncul di media sosial menjelang Pemilihan Kepala Daerah (Pilkada). Masyarakat diimbau untuk selalu berhati-hati. Apabila masyarakat menemukan hal serupa, dimohon untuk mengabaikan pesan tersebut atau dapat mengkonfirmasi kebenarannya terlebih dahulu ke pihak terkait."
Akun Facebook Mengatasnamakan Wali Kota Depok Mohammad Idris,hoaks,"Beredar akun Facebook yang mengatasnamakan Wali Kota Depok Mohammad Idris. Akun tersebut terlihat mengirim pesan ke masyarakat meminta kode OTP WhatsApp.Faktanya, akun tersebut adalah penipuan. Pemerintah Kota Depok melalui akun Instagram resminya @pemkotdepok, memberikan klarifikasi bahwa akun Facebook yang mengatasnamakan Wali Kota Depok Mohammad Idris adalah tidak benar alias hoaks. Pihaknya mengimbau kepada masyarakat agar berhati-hati terhadap modus penipuan uang mengatasnamakan Wali Kota Depok."
Nomor WhatsApp Mengatasnamakan Kepala DPMD Kabupaten Karawang,hoaks,"Beredar sebuha akun WhatsApp yang mengatasnamakan Kepala Dinas Pemberdayaan Masyarakat dan Desa (DPMD) Kabupaten Karawang Muhamad Saefullah dengan yang melakukan modus penipuan dengan menghubungi beberapa Aparatur Sipil Negara (ASN) di lingkungan Pemerintah Kabupaten (Pemkab) Karawang.Faktanya, akun WhatsApp tersebut merupakan modus penipuan. Dilansir dari akun Instagram Karawang Saber Hoaks @karawangsaberhoaks, akun WhatsApp yang mengatasnamakan Kepala DPMD Kabupaten Karawang tersebut adalah hoaks alias modus penipuan. Pihak DPMD Kabupaten Karawang mengimbau kepada seluruh ASN maupun warga Kabupaten Karawang untuk tidak terpancing atau menerima iming-iming modus penipuan melalui nomor tersebut."
Surat Mengatasnamakan Pj Bupati Nagan Raya,hoaks,"Beredar sebuah surat yang ditujukan kepada salah satu perusahaan yang ada di Kabupaten Nagan Raya, Provinsi Aceh. Surat yang berisi tentang pemanggilan terhadap pimpinan dan direksi perusahaan tersebut diklaim telah ditandatangani oleh Penjabat (Pj) Bupati Nagan Raya.Faktanya, surat tersebut tidak benar. Pj Bupati Nagan Raya Fitriany Farhas melalui akun Facebook resminya Fitriany Farhas, mengklarifikasi bahwa pihaknya tidak pernah mengeluarkan surat tersebut dan tidak pernah meminta sejumlah uang. Fitriany juga menjelaskan pemanggilan perusahaan akan dilakukan jika ada pelanggaran lingkungan, mengingat Kabupaten Nagan Raya banyak terdapat industri pertambangan, perkebunan kelapa sawit, dan lain-lain."
Kantor PKS Digeruduk dan Dibakar Massa,hoaks,"Beredar sebuah unggahan video di platform YouTube yang memberikan klaim pada judul bahwa Kantor Pusat Partai Keadilan Sejahtera (PKS) sedang diamuk massa hingga terbakar. Pada bagian thumbnail juga memperlihatkan adanya aksi demo yang dilakukan di depan Gedung Dewan Pengurus Pusat (DPP) PKS, Kota Jakarta Selatan.Faktanya, klaim dalam unggahan video tersebut adalah tidak benar. Dilansir dari turmbackhoax.id setelah ditelusuri lebih lanjut narator membacakan ulang sebuah artikel nasional.tempo.co yang berjudul “PKS Berpotensi Batal Dukung Anies di Pilkada, Kantor Pusatnya Mau Digeruduk Warga Jakarta”. Dalam artikel tersebut membahas tentang munculnya seruan aksi dari kelompok pendukung bakal calon Gubernur Jakarta Anies Baswedan yang mengatasnamakan warga Jakarta, untuk datang ke Kantor DPP PKS di Jakarta pada Minggu, 11 Agustus 2024. Aksi seruan ini muncul karena adanya isu yang mengatakan jika ada pihak-pihak yang berusaha untuk mencoba merayu PKS agar tidak lagi mendukung Anies Baswedan di Pemilihan Kepala daerah (Pilkada) Jakarta."
WHO Minta Pemerintah Bersiap dengan Mega Lockdown,hoaks,"Beredar sebuah narasi di media sosial Facebook mengeklaim bawa World Health Organization (WHO) meminta pemerintah bersiap dengan mega lockdown. Mega lockdown dikaitkan dengan merebaknya kasus cacar monyet atau monkeypox (Mpox).Faktanya, berdasarkan hasil penelusuran dari turnbackhoax.id, Direktur Jenderal WHO Tedros Adhanom Ghebreyesus menyampaikan mengenai peningkatan jumlah kasus Mpox di Republik Demokratik Kongo. WHO merekomendasikan sejumlah langkah penanganan, seperti pemberian vaksin dan memperkuat surveilans. Namun, tidak ada pernyataan Tedros mengenai permintaan lockdown kepada pemerintah. Dikutip dari kompas.com, WHO tidak mempunyai wewenang untuk mengeluarkan perintah kepada pemerintah di seluruh dunia. Sehingga dapat disimpulkan bahwa klaim mengenai WHO meminta pemerintah bersiap untuk mega lockdown adalah tidak benar."
"Sambut HUT RI ke-79, Kemenkes dan BPJS Kesehatan Salurkan Bansos Rp27 Juta",hoaks,"Beredar sebuah unggahan foto di media sosial Facebook yang mengeklaim bahwa Kementerian Kesehatan (Kemenkes) dan Badan Penyelenggara Jaminan Sosial (BPJS) Kesehatan akan memberikan Bantuan Sosial (Bansos) senilai Rp27 juta. Penyaluran Bansos tersebut dilaksanakan dalam rangka menyambut Hari Ulang Tahun Republik Indonesia (HUT RI) ke-79 tahun 2024.Faktanya, klaim Kemenkes dan BPJS Kesehatan akan memberikan Bansos senilai Rp27 Juta adalah tidak benar. Dilansir dari tirto.id, Juru Bicara Kemenkes dr. Mohammad Syahril, Sp.P., MPH menegaskan bahwa informasi tersebut tidak pernah dikeluarkan oleh Kemenkes. Adapun dari pihak BPJS Kesehatan, dikutip dari kompas.com, Kepala Humas BPJS Kesehatan Rizky Anugrah menyampaikan bahwa BPJS Kesehatan tidak pernah menyalurkan bansos. Pada akun media sosial resmi milik Kemenkes dan BPJS Kesehatan juga tidak terdapat informasi terkait pemberian bansos kepada masyarakat."
Layanan JakLingko Tidak Lagi Gratis,hoaks,"Beredar sebuah unggahan foto di media sosial Thread yang membagikan infografis mengenai perubahan tarif baru dari armada transportasi Mikrotrans atau sering disebut publik sebagai JakLingko. JakLingko yang selama ini gratis diklaim akan mulai berbayar.Faktanya, berdasarkan hasil penelusuran dari turnbackhoax.id, tidak ditemukan pemberitaan terkait klaim narasi yang beredar. Dilansir dari akun Instagram resmi milik Dinas Perhubungan (Dishub) DKI Jakarta @dishubdkijakarta, pihak Dishub DKI Jakarta telah memberi klarifikasi bahwa informasi yang beredar tersebut tidak benar. Dikutip dari mediaIndonesia.com, Kepala Dishub DKI Jakarta, Syafrin Liputo menyampaikan bahwa pemberitaan mengenai tarif JakLingko adalah salah. Syafrin mengatakan bahwa masyarakat yang memerlukan informasi mengenai lalu lintas dan transportasi sebaiknya bisa mengakses akun resmi milik Dishub DKI Jakarta. Sementara Direktur Operasional PT Transjakarta Daud Joseph menyatakan kalau tidak ada perubahan tarif untuk layanan Mikrotrans yang masih berstatus gratis."
Undian Berhadiah Menyambut HUT RI ke-79 dari BPD Bali,hoaks,"Beredar sebuah unggahan di media sosial Facebook terkait undian berhadiah mengatasnamakan Bank Pembangunan Daerah (BPD) Bali dalam rangka menyambut Hari Ulang Tahun (HUT) ke-79 Republik Indonesia.Faktanya, dikutip dari turnbackhoax.id, informasi mengenai undian berhadiah dari BPD Bali dalam rangka HUT ke-79 RI merupakan penipuan. Tautan dalam unggahan tersebut mengarah ke situs yang menampilkan sebuah formulir dengan pertanyaan terkait data pribadi seperti nama lengkap, nomor handphone, nomor kartu ATM, CVV, serta jumlah saldo terakhir. Selain itu, tidak terdapat informasi soal undiah berhadiah menyambut HUT ke-79 RI di situs dan media sosial resmi Bank BPD Bali."
Informasi Lowongan Pekerjaan di Puskesmas Majalengka,hoaks,"Beredar unggahan di Facebook yang berisi informasi loker (lowongan pekerjaan) petugas kebersihan di Puskesmas Majalengka. Adapun syarat pendaftaran hanya menggunakan Kartu Tanda Penduduk (KTP), dengan gaji bulanan yang diterima senilai Rp2.500.000, uang mingguan Rp105.000, dan makan sehari sekali. Untuk informasi pendaftaran tercantum nomor yang tersedia.Faktanya, informasi loker tersebut merupakan modus penipuan. Puskesmas Majalengka melalui akun Instagram resminya @puskesmasmajalengka, memberikan klarifikasi bahwa informasi loker di Puskesmas Majalengka adalah tidak benar alias hoaks. Informasi mengenai loker di Puskesmas Majalengka hanya melalui akun Instagram atau Facebook resmi Puskesmas Majalengka."
Lowongan Kerja BUMN PT Pertamina Marine Solutions,hoaks,"Beredar sebuah unggahan di media sosial Facebook terkait adanya lowongan pekerjaan di PT Pertamina Marine Solutions (PMSol) yang disebut berlaku pada Agustus 2024. Lowongan itu menawarkan beberapa posisi seperti di bagian pemeliharaan transmisi dan gardu.Faktanya, lowongan pekerjaan tersebut tidak benar atau hoaks. Dilansir dari kompas.com,  Muhammad Nirwan dari Tim Legal and Relation PT Pertamina Marine Solutions, menjelaskan bahwa perusahaan tidak pernah membuka lowongan kerja seperti dalam unggahan tersebut dan menilai bahwa informasi yang terdapat dalam unggahan Facebook tersebut adalah hoaks. Pihaknya juga mengimbau kepada masyarakat untuk hati-hati terhadap modus penipuan yang mengatasnamakan PT Pertamina Marine Solution."
